,numberOfEpisodes,Finalization,originalTitle,startYear,endYear,runtimeMinutes,averageRating,numVotes,GenderMale,GenderFeMale,genre_action,genre_adult,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_musical,genre_mystery,genre_news,genre_romance,genre_sci-fi,genre_talk-show,genre_thriller,genre_war,genre_western,numberEpisodePrediction
37,13,0,Rôdosu-tô senki,0.0,0,0.20895522388059698,0.7586206896551724,0.0014816023154900027,0.8,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0
38,8,0,Miller & Mueller,0.035714285714277594,0,0.5074626865671641,0.5172413793103449,1.870709994305559e-05,0.6000000000000001,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
39,39,0,The Adventures of Skippy,0.0714285714285694,0,0.8059701492537313,0.6091954022988505,4.7141891856500084e-05,0.4,0.6000000000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
40,9,0,The Antagonists,0.035714285714277594,0,0.7313432835820896,0.5402298850574713,9.727691970388907e-06,0.8,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
41,7,0,Charlie Hoover,0.035714285714277594,0,0.28358208955223885,0.5747126436781609,1.2720827961277801e-05,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
42,14,0,Dangerous Women,0.035714285714277594,0,0.7313432835820896,0.793103448275862,6.135928781322233e-05,0.0,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0
43,7,0,Doctor at the Top,0.035714285714277594,0,0.28358208955223885,0.632183908045977,2.244851993166671e-05,0.8,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
44,7,0,Eddie Dodd,0.035714285714277594,0,0.7313432835820896,0.5402298850574713,5.986271981777789e-06,0.4,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
45,14,0,Fiddlers Three,0.035714285714277594,0,0.28358208955223885,0.6206896551724137,5.2379879840555655e-06,0.8,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0
46,65,0,Hillside,0.0,0,0.20895522388059698,0.7011494252873562,0.00021326093935083372,0.6000000000000001,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0
47,13,0,Fly by Night,0.035714285714277594,0,0.6119402985074627,0.689655172413793,1.7210531947611142e-05,0.4,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
48,15,0,Good Sports,0.035714285714277594,0,0.28358208955223885,0.5402298850574713,2.768650791572227e-05,0.6000000000000001,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
49,21,0,Der Hausgeist,0.035714285714277594,0,0.20895522388059698,0.5057471264367815,9.727691970388907e-06,0.4,0.6000000000000001,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
50,7,0,The Man in the Family,0.035714285714277594,0,0.28358208955223885,0.6436781609195401,0.0,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
51,10,0,Man of the People,0.035714285714277594,0,0.28358208955223885,0.6091954022988505,1.2720827961277801e-05,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
52,7,0,My Life and Times,0.035714285714277594,0,0.28358208955223885,0.7701149425287356,2.244851993166671e-05,0.4,0.6000000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
53,7,0,Old Boy Network,0.0714285714285694,0,0.20895522388059698,0.632183908045977,1.496567995444447e-06,0.6000000000000001,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
54,13,0,P.S.I. Luv U,0.035714285714277594,0,0.7313432835820896,0.7471264367816092,0.00010401147568338909,0.6000000000000001,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
55,13,0,Pacific Station,0.035714285714277594,0,0.28358208955223885,0.7356321839080459,4.489703986333342e-06,0.8,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0
56,8,0,Palace Guard,0.035714285714277594,0,0.7313432835820896,0.6091954022988505,1.4965679954444473e-05,0.6000000000000001,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
57,8,0,Princesses,0.035714285714277594,0,0.28358208955223885,0.6781609195402298,7.482839977222235e-06,0.0,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
58,23,0,Scene of the Crime,0.035714285714277594,0,0.7313432835820896,0.7241379310344827,1.870709994305559e-05,0.2,0.6000000000000001,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
59,7,0,Sons and Daughters,0.035714285714277594,0,0.7313432835820896,0.7126436781609196,1.1224259965833353e-05,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0
60,65,0,Swans Crossing,0.0714285714285694,0,0.28358208955223885,0.689655172413793,0.00019081241941916702,0.2,0.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0
61,13,0,Teech,0.035714285714277594,0,0.28358208955223885,0.5632183908045976,5.986271981777789e-06,0.6000000000000001,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
62,9,0,Under Cover,0.035714285714277594,0,0.7313432835820896,0.8160919540229885,1.3469111959000025e-05,0.8,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0
63,13,0,Walter & Emily,0.035714285714277594,0,0.28358208955223885,0.6436781609195401,5.2379879840555655e-06,0.6000000000000001,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0
64,13,0,Wish Kid,0.035714285714277594,0,0.28358208955223885,0.6206896551724137,6.95904117881668e-05,0.6000000000000001,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.0
65,52,0,American Justice,0.0714285714285694,0,0.7313432835820896,0.8160919540229885,0.0003838696908315007,0.2,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0
66,8,0,Angel Street,0.0714285714285694,0,0.7313432835820896,0.5172413793103449,7.482839977222235e-06,0.6000000000000001,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
67,26,0,Berlin Break,0.1071428571428612,0,0.5074626865671641,0.6091954022988505,7.482839977222235e-06,0.6000000000000001,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
68,7,0,The Big One,0.0714285714285694,0,0.28358208955223885,0.793103448275862,8.23112397494446e-06,0.6000000000000001,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0
